archetype,mean,std,lo,hi
Advanced stable,0.5339686522527034,0.011771106434770032,0.5297564159122398,0.538180888593167
Automated transition,0.5782213642185118,0.012978486680391553,0.5735770724059863,0.5828656560310372
High-inflation skilled,0.5536971361744047,0.006692142856214686,0.5513023836088128,0.5560918887399967
Low-income low-digital,0.23168446331389445,0.005683668595659311,0.22965058862773324,0.23371833800005565
Middle-income pressure,0.48485681864287994,0.010814571955567296,0.480986873769793,0.4887267635159669
Resource-rich concentrated,0.4663884229002797,0.010388686231368518,0.46267087927632733,0.4701059665242321
