mode,completion_mean,completion_sd,bottom_access_mean,bottom_access_sd,completion_lo,completion_hi,bottom_access_lo,bottom_access_hi
emergency_htve,0.2572783535186575,0.014454803545324664,0.17162257156156532,0.009412580282376386,0.2544452120237739,0.26011149501354114,0.16977770582621954,0.1734674372969111
fiat_only,0.1047013479706422,0.0028120786810560757,0.07329094357944954,0.001968455076739252,0.10415018054915522,0.1052525153921292,0.07290512638440864,0.07367676077449044
prepositioned_htve,0.4281892705477913,0.004710809227443397,0.2817569036654465,0.003316845729708136,0.4272659519392124,0.42911258915637024,0.2811068019024237,0.28240700542846925
