stress,breadth,unit_share_mean,unit_share_sd,completion_mean
0.1,0.4,0.019737437921012315,0.004960455923892878,0.8755976762317879
0.1,0.6,0.03596140628236539,0.009276156847383865,0.8880568819153676
0.1,0.8,0.060153890267799666,0.013140755239957794,0.9002077557171841
0.1,1.0,0.09442360809232837,0.02118604907013943,0.9183522776135128
0.3,0.4,0.06852008861875722,0.010598988544786487,0.7357632493194576
0.3,0.6,0.11644609832254636,0.016797780238270183,0.7749929069209806
0.3,0.8,0.17920697096191257,0.0252542084565306,0.8185780669897182
0.3,1.0,0.24264474323029048,0.029029626514545975,0.8784357644836424
0.5,0.4,0.1663818254642243,0.018530225444353798,0.6287258112628589
0.5,0.6,0.2594074716027097,0.02742992500670065,0.7002425575750085
0.5,0.8,0.3479598043009463,0.03433312894916598,0.7832376359479746
0.5,1.0,0.4379664861554333,0.03872623588709956,0.8845141992266058
0.7,0.4,0.33543908079684975,0.03048866599391148,0.5473392208891703
0.7,0.6,0.4464103550056971,0.03924890145167535,0.6553287229389888
0.7,0.8,0.5453868256895428,0.037705873682438246,0.7701959512161103
0.7,1.0,0.6277333765493127,0.03472336083681308,0.90389777880987
0.9,0.4,0.5535757324925908,0.05755563797809502,0.4816136471740969
0.9,0.6,0.6573766303770116,0.04929167404241943,0.6208266097263412
0.9,0.8,0.7295185691737588,0.03788405934299835,0.7776718514831095
0.9,1.0,0.7899051615486624,0.03526468721764897,0.9384779898511006
