automation,resource_abundance,concentration,safeguards,productive_abundance_mean,free_access_mean,settlement_required_mean,access_mean,htve_access_gain_mean
0.0,0.25,0.1,0.2,0.17775197635723458,0.06751346251905786,0.9052642044320917,0.4248229789148501,0.07810187381031355
0.0,0.25,0.1,0.9,0.17775197635723458,0.0764721621274625,0.7845161161259777,0.5655502636994727,0.1004813776034971
0.0,0.25,0.5,0.2,0.17775197635723458,0.026559407166351013,0.9575885832520119,0.29349824847086137,0.08454782041400122
0.0,0.25,0.5,0.9,0.17775197635723458,0.07135290520837413,0.7910566634784678,0.5491346723939741,0.10161667766853488
0.0,0.25,0.9,0.2,0.17775197635723458,1.1351449561085302e-05,0.996370996448993,0.1700968178266269,0.0892742818823954
0.0,0.25,0.9,0.9,0.17775197635723458,0.06623364828928578,0.7975972108309578,0.5327190810884755,0.10275690724592053
0.0,0.5,0.1,0.2,0.17999631441861846,0.06962852670810606,0.903554911316251,0.4260725334364133,0.07786015745451555
0.0,0.5,0.1,0.9,0.17999631441861846,0.07870034095480442,0.7828488819695313,0.5668620312720976,0.10013979694935822
0.0,0.5,0.5,0.2,0.17999631441861846,0.028157375866056347,0.9560410913467667,0.294463400473286,0.08433584023736598
0.0,0.5,0.5,0.9,0.17999631441861846,0.0735164470995482,0.7894114058803186,0.5504108896517065,0.10127996131854056
0.0,0.5,0.9,0.2,0.17999631441861846,0.0,0.9961552294471686,0.170176843746955,0.08925550855846633
0.0,0.5,0.9,0.9,0.17999631441861846,0.06833255324429201,0.7959739297911057,0.5339597480313156,0.10242513421731164
0.0,0.75,0.1,0.2,0.18038991105510666,0.0699994521783325,0.9020626349060877,0.4262814630116825,0.07771424728760847
0.0,0.75,0.1,0.9,0.18038991105510666,0.07909110369550988,0.7813544534162736,0.5670818713461301,0.09992479714407802
0.0,0.75,0.5,0.2,0.18038991105510666,0.028437616671235927,0.9545936589785005,0.2946224534827794,0.08419434920056074
0.0,0.75,0.5,0.9,0.18038991105510666,0.0738958742571228,0.7879208314253252,0.5506244951550172,0.10106539478428857
0.0,0.75,0.9,0.2,0.18038991105510666,2.6320215539092083e-05,0.9951497977588109,0.1701962404321461,0.08916413714749824
0.0,0.75,0.9,0.9,0.18038991105510666,0.06870064481873574,0.7944872094343769,0.5341671189639043,0.1022110148377009
0.0,1.0,0.1,0.2,0.1805771311444499,0.07017588839052957,0.9044498497725713,0.4261277327717575,0.07791387149253062
0.0,1.0,0.1,0.9,0.1805771311444499,0.07927697580020984,0.783504407933115,0.5669333308470818,0.10019180338523753
0.0,1.0,0.5,0.2,0.1805771311444499,0.028570917374848306,0.9569955399179029,0.2944449987131328,0.08440126157845752
0.0,1.0,0.5,0.9,0.1805771311444499,0.07407635442324968,0.7900726192012815,0.5504729890897536,0.10133359429200191
0.0,1.0,0.9,0.2,0.1805771311444499,4.55140195531542e-06,0.9964705304413363,0.16993349742804165,0.08928353523445538
0.0,1.0,0.9,0.9,0.1805771311444499,0.06887573304628952,0.796640830469448,0.5340126473324255,0.10248041460051364
0.25,0.25,0.1,0.2,0.23173754448121592,0.1365163866112997,0.8513225777675335,0.4693545993189206,0.07055329098174634
0.25,0.25,0.1,0.9,0.23173754448121592,0.14819595885315295,0.7357907374424955,0.61157836405194,0.09036047906678778
0.25,0.25,0.5,0.2,0.23173754448121592,0.08312405636282753,0.907875970052014,0.3311888176822609,0.07762784510133748
0.25,0.25,0.5,0.9,0.23173754448121592,0.14152191757209395,0.7428599114780554,0.5943076413473575,0.09159295371494486
0.25,0.25,0.9,0.2,0.23173754448121592,0.02973172611435537,0.9644283885934865,0.19302303604560123,0.08500019877380684
0.25,0.25,0.9,0.9,0.23173754448121592,0.13484787629103492,0.7499290855136155,0.5770369186427751,0.09283237369092183
0.25,0.5,0.1,0.2,0.28779027790481904,0.20418155329393747,0.7935218651200797,0.5132937247322116,0.06311630987905403
0.25,0.5,0.1,0.9,0.28779027790481904,0.21868618330034034,0.6833045699770789,0.6570712712357333,0.080371507343807
0.25,0.5,0.5,0.2,0.28779027790481904,0.13787467326466718,0.8544662043300316,0.3680249407161129,0.07075515023070285
0.25,0.5,0.5,0.9,0.28779027790481904,0.21039782329668155,0.6909226123783229,0.6389126732337208,0.08168850593098467
0.25,0.5,0.9,0.2,0.28779027790481904,0.07156779323539687,0.9154105435399835,0.22275615670001422,0.07879247134423363
0.25,0.5,0.9,0.9,0.28779027790481904,0.2021094632930228,0.698540654779567,0.6207540752317086,0.0830147952683478
0.25,0.75,0.1,0.2,0.3418807620391686,0.26730726653630993,0.7382315371288136,0.554566254567778,0.05642225103690279
0.25,0.75,0.1,0.9,0.3418807620391686,0.284538056943084,0.6332038424984642,0.6998431892915039,0.07141298069556914
0.25,0.75,0.5,0.2,0.3418807620391686,0.18853793896248544,0.8034131085039139,0.40244312440217456,0.06452178122675281
0.25,0.75,0.5,0.9,0.3418807620391686,0.27469189099635594,0.6413515389203517,0.6808277980208034,0.07279603252610733
0.25,0.75,0.9,0.2,0.3418807620391686,0.10976861138866095,0.8685946798790143,0.25031999423657103,0.07312762533403439
0.25,0.75,0.9,0.9,0.3418807620391686,0.2648457250496279,0.6494992353422393,0.661812406750103,0.07419088928318719
0.25,1.0,0.1,0.2,0.3926946129772281,0.32514250685801754,0.6877390733647636,0.5927992396754219,0.050603222282826155
0.25,1.0,0.1,0.9,0.3926946129772281,0.34493431535206986,0.5878359953200638,0.7394847343471508,0.06368584681597989
0.25,1.0,0.5,0.2,0.3926946129772281,0.2346656680280642,0.7569011985669478,0.43423697831894764,0.059065972330133866
0.25,1.0,0.5,0.9,0.3926946129772281,0.3336247104983257,0.5964812609703369,0.7196644516775915,0.06511831857852463
0.25,1.0,0.9,0.2,0.3926946129772281,0.14418882919811085,0.8260633237691318,0.27567471696247325,0.06814574514421469
0.25,1.0,0.9,0.9,0.3926946129772281,0.32231510564458155,0.60512652662061,0.6998441690080323,0.06656517649200365
0.5,0.25,0.1,0.2,0.2874989786402622,0.2039070328670191,0.791999513065731,0.5130893684589369,0.06300794557737185
0.5,0.25,0.1,0.9,0.2874989786402622,0.21839698139048833,0.6817373975910228,0.6568588401468451,0.08020465544122687
0.5,0.25,0.5,0.2,0.2874989786402622,0.1376672681883027,0.8529210330564945,0.367857497885643,0.07063735361647662
0.5,0.25,0.5,0.9,0.2874989786402622,0.21011701080564876,0.6893525875898682,0.6387048563251834,0.08151999140959482
0.5,0.25,0.9,0.2,0.2874989786402622,0.0714275035095863,0.9138425530472581,0.22262562731234892,0.07866474276616245
0.5,0.25,0.9,0.9,0.2874989786402622,0.2018370402208092,0.6969677775887136,0.6205508725035216,0.08284460647856345
0.5,0.5,0.1,0.2,0.3939813049871033,0.326355085408124,0.684371910267629,0.5937388073824377,0.0503152685559617
0.5,0.5,0.1,0.9,0.3939813049871033,0.346211743179474,0.5847012563394747,0.7404599691566801,0.06329240542742319
0.5,0.5,0.5,0.2,0.3939813049871033,0.23558179273909538,0.7536348297750988,0.43501349641447185,0.05877757915813771
0.5,0.5,0.5,0.9,0.3939813049871033,0.3348650815958454,0.5933591212779085,0.7206193052856844,0.06472441897611206
0.5,0.5,0.9,0.2,0.3939813049871033,0.14480850007006676,0.8228977492825684,0.2762881854465061,0.06785983186828132
0.5,0.5,0.9,0.9,0.3939813049871033,0.3235184200122168,0.6020169862163421,0.7007786414146888,0.06617088674142957
0.5,0.75,0.1,0.2,0.5003300856825608,0.44139165155602506,0.5820533187703972,0.6701129363979572,0.039492746382419196
0.5,0.75,0.1,0.9,0.5003300856825608,0.4666082878744261,0.492790688594808,0.8197820863730779,0.04898000524178236
0.5,0.75,0.5,0.2,0.5003300856825608,0.32611559981476307,0.6596471763624264,0.4979111079402631,0.048504004467102534
0.5,0.75,0.5,0.9,0.5003300856825608,0.45219878140676834,0.5024899207938117,0.798256857815866,0.05047627863979274
0.5,0.75,0.9,0.2,0.5003300856825608,0.210839548073501,0.7372410339544554,0.32570927948256895,0.05839705738683085
0.5,0.75,0.9,0.9,0.5003300856825608,0.43778927493911063,0.5121891529928153,0.7767316292586544,0.05199311146327841
0.5,1.0,0.1,0.2,0.6086621000942837,0.5534135113293874,0.4796592676244393,0.7446691549170934,0.029898221948262183
0.5,1.0,0.1,0.9,0.6086621000942837,0.5840900811741393,0.40062150931742524,0.897341268331707,0.036359655431227725
0.5,1.0,0.5,0.2,0.6086621000942837,0.41317776346766444,0.5657394218974251,0.5587394935931458,0.0391722758846772
0.5,1.0,0.5,0.9,0.6086621000942837,0.5665606126914239,0.41138152860154853,0.8741000606662135,0.03786620755646573
0.5,1.0,0.9,0.2,0.6086621000942837,0.27294201560594145,0.651819576170411,0.37280983226919817,0.049636314462564314
0.5,1.0,0.9,0.9,0.6086621000942837,0.5490311442087086,0.4221415478856717,0.8508588530007201,0.039400504684941176
0.75,0.25,0.1,0.2,0.34167858172357946,0.2671167318068986,0.7380968055599858,0.5543543906627655,0.0564212053920749
0.75,0.25,0.1,0.9,0.34167858172357946,0.284337332325767,0.6329726436746103,0.699625720948143,0.07139938095512263
0.75,0.25,0.5,0.2,0.34167858172357946,0.1883939865777859,0.8032625389378842,0.4022568807867534,0.06451716785482974
0.75,0.25,0.5,0.9,0.34167858172357946,0.27449698917212795,0.6411183603468475,0.6806135322136416,0.07278180232674425
0.75,0.25,0.9,0.2,0.34167858172357946,0.10967124134867318,0.8684282723157826,0.2501593709107414,0.07311900478394534
0.75,0.25,0.9,0.9,0.34167858172357946,0.2646566460184889,0.6492640770190848,0.6616013434791401,0.07417601837891699
0.75,0.5,0.1,0.2,0.5017879316101861,0.44276552555821924,0.5853337912256693,0.6705722748539279,0.039675554992991774
0.75,0.5,0.1,0.9,0.5017879316101861,0.4680556373113726,0.4957696399733772,0.8202818363181622,0.04922300201083056
0.75,0.5,0.5,0.2,0.5017879316101861,0.32715358611523226,0.663041850636285,0.49818570816028496,0.048719491931371435
0.75,0.5,0.5,0.9,0.5017879316101861,0.4536041448809992,0.5054831473997041,0.7987335154814568,0.050724376123077404
0.75,0.5,0.9,0.2,0.5017879316101861,0.2115416466722454,0.7407499100469005,0.32579914146664213,0.058649159169240905
0.75,0.5,0.9,0.9,0.5017879316101861,0.4391526524506259,0.5151966548260312,0.7771851946447516,0.05224640141784409
0.75,0.75,0.1,0.2,0.6641207603134434,0.6093375156972304,0.42846519914577785,0.7821663633968454,0.025526634875828666
0.75,0.75,0.1,0.9,0.6641207603134434,0.642809202017028,0.3547668402428574,0.936375790872734,0.030666593723529742
0.75,0.75,0.5,0.2,0.6641207603134434,0.45632409252101297,0.5188897630256918,0.5892089806499259,0.03482514923286331
0.75,0.75,0.5,0.9,0.6641207603134434,0.6236825241200008,0.36606991072784667,0.9122561180293691,0.03215818999364259
0.75,0.75,0.9,0.2,0.6641207603134434,0.3033106693447956,0.6093143269056057,0.39625159790300624,0.0454876169374097
0.75,0.75,0.9,0.9,0.6641207603134434,0.6045558462229735,0.37737298121283586,0.8881364451860043,0.03368158742212637
0.75,1.0,0.1,0.2,0.8248121828833846,0.7682312058203605,0.2781654999607996,0.8890793321600517,0.014393906427728682
0.75,1.0,0.1,0.9,0.8248121828833846,0.8098017398376831,0.21993354275650653,1.0,0.01631034183256441
0.75,1.0,0.5,0.2,0.8248121828833846,0.5781944788840286,0.3811779871191524,0.6757591323450692,0.023293028711516714
0.75,1.0,0.5,0.9,0.8248121828833846,0.7860471489706415,0.23281010365130062,1.0,0.017671679424361146
0.75,1.0,0.9,0.2,0.8248121828833846,0.3881577519476967,0.48419047427750533,0.46243893253008667,0.03412180367333873
0.75,1.0,0.9,0.9,0.8248121828833846,0.7622925581036002,0.2456866645460947,0.9939036810740118,0.019078007697493876
0.95,0.25,0.1,0.2,0.3841425586083485,0.31524930453151667,0.6963369943999502,0.5861599537787301,0.05157622749446588
0.95,0.25,0.1,0.9,0.3841425586083485,0.33461008948537746,0.595462308049607,0.7326083855033535,0.06496555252851235
0.95,0.25,0.5,0.2,0.3841425586083485,0.22674285902815317,0.7648291858710938,0.4286814087518801,0.05998395623982724
0.95,0.25,0.5,0.9,0.3841425586083485,0.323546783797457,0.6040238319835001,0.7129235673749973,0.06639074740869029
0.95,0.25,0.9,0.2,0.3841425586083485,0.13823641352478966,0.8333213773422373,0.2712028637250302,0.06898942162037631
0.95,0.25,0.9,0.9,0.3841425586083485,0.3124834781095366,0.6125853559173929,0.6932387492466411,0.0678298787753576
0.95,0.5,0.1,0.2,0.5894927853224523,0.5336668121926575,0.5000824367620061,0.7311558207366476,0.03165770067901242
0.95,0.5,0.1,0.9,0.5894927853224523,0.5633772485729092,0.4188973574880276,0.8832965607457862,0.03865583032227795
0.95,0.5,0.5,0.2,0.5894927853224523,0.39784767445436453,0.5846609435930258,0.5476552949805865,0.04092395442507528
0.95,0.5,0.5,0.9,0.5894927853224523,0.5463998563556225,0.429469670841905,0.8603589950262784,0.0401673317321887
0.95,0.5,0.9,0.2,0.5894927853224523,0.26202853671607146,0.6692394504240454,0.36415476922452533,0.05132264914666368
