concentration,safeguards,completion_mean,bottom_access_mean,trust_mean,social_diversion_mean
0.1,0.2,0.6622633223470962,0.5818377826133591,0.728116290975438,0.05017789408624865
0.1,0.6,0.6690353223470962,0.6281874315394018,0.7449162909754379,0.025654368711205452
0.1,0.9,0.6741143223470962,0.6630634378339341,0.7575162909754379,0.010933773418960688
0.3,0.2,0.6360025606340938,0.5268372567013042,0.6570099492237422,0.14610176463100313
0.3,0.6,0.6563185606340938,0.6003577006296533,0.7074099492237422,0.07170176463100315
0.3,0.9,0.6715555606340938,0.6565219599759153,0.7452099492237423,0.017009891391576076
0.5,0.2,0.6062511272401373,0.4719008476845833,0.5891316603333174,0.24581605407002555
0.5,0.6,0.6401111272401373,0.570330679827952,0.6731316603333175,0.12181605407002555
0.5,0.9,0.6655061272401374,0.6469972939354786,0.7361316603333176,0.028947969071298593
0.7,0.2,0.5814032521989778,0.4234473991410437,0.5234248708329333,0.3511290260149999
0.7,0.6,0.6288072521989778,0.5450092521380722,0.6410248708329334,0.17752902601499992
0.7,0.9,0.6643602521989779,0.6417553522858434,0.7292248708329333,0.047347733670816725
0.9,0.2,0.5554411901181132,0.3768145971007264,0.45698836692803796,0.44639472166372324
0.9,0.6,0.6163891901181132,0.5194144526023331,0.6081883669280379,0.22319472166372317
0.9,0.9,0.6621001901181133,0.635579681828538,0.7215883669280381,0.055794721663723144
