rep,stress,breadth,unit_share,unit_acceptance,total_completion
0,0.1,0.4,0.02143055425235099,0.07848713111595362,0.9133740005841158
0,0.1,0.6,0.038778423708087616,0.14478337623820084,0.8909818437770607
0,0.1,0.8,0.05964921261538875,0.2522211007765755,0.8866481451362641
0,0.1,1.0,0.09575092431310678,0.39521927048521394,0.8643052961326964
0,0.3,0.4,0.06733011204073824,0.14978957600855017,0.7242802786826525
0,0.3,0.6,0.12347138925829483,0.26959848142700665,0.7381596241646338
0,0.3,0.8,0.21921011629780843,0.3891018326826679,0.7883630648591884
0,0.3,1.0,0.228753706908972,0.5698567699533563,0.9016812349304697
0,0.5,0.4,0.14124150607093072,0.2439647316464942,0.631253376748966
0,0.5,0.6,0.32610371744527217,0.38600300878181065,0.6656418463386046
0,0.5,0.8,0.36134970690870255,0.5470337264717317,0.7354773957262074
0,0.5,1.0,0.43828997696947813,0.7196105887937421,0.879802254086933
0,0.7,0.4,0.4186076300382195,0.33804149845321085,0.4884833644965781
0,0.7,0.6,0.41353548145700825,0.49286431218939625,0.6743061443139583
0,0.7,0.8,0.5841998102294701,0.6448216212657244,0.8132171743086716
0,0.7,1.0,0.6501903478985441,0.8095516019478253,0.8990093238608577
0,0.9,0.4,0.6403267950712578,0.41689013719198104,0.4199161160888904
0,0.9,0.6,0.604542710002183,0.5695817421711158,0.6605796697515153
0,0.9,0.8,0.7415957373269704,0.7180911752415977,0.7774009031903817
0,0.9,1.0,0.7760793956458375,0.8583983143413281,0.8872434277708032
1,0.1,0.4,0.011145153014955427,0.07539355433129634,0.9291161682211938
1,0.1,0.6,0.03722921822033429,0.14545896869767252,0.8783302583286867
1,0.1,0.8,0.060523513072812785,0.2385071125894644,0.8474419064600975
1,0.1,1.0,0.05367742482161879,0.37766301669531466,0.9108804124408875
1,0.3,0.4,0.06753594477167446,0.1433180222756644,0.7101727093127652
1,0.3,0.6,0.13262236283831322,0.2548407702082434,0.7455934032293218
1,0.3,0.8,0.13831147492001342,0.4039690144647921,0.8900889781258392
1,0.3,1.0,0.25224781824157705,0.5570955621366122,0.8855337000520196
1,0.5,0.4,0.17763747141432598,0.23993659048723137,0.6622990906301381
1,0.5,0.6,0.25860900808674747,0.37998467264469715,0.7024104142197914
1,0.5,0.8,0.3625622754319779,0.5386061244978148,0.7575356496075097
1,0.5,1.0,0.44493224783363744,0.7113329784599978,0.8230074099893248
1,0.7,0.4,0.3661347131202254,0.3338745698742333,0.5393863501550725
1,0.7,0.6,0.3824385269459231,0.501989508997707,0.6370114282214521
1,0.7,0.8,0.5259584742220492,0.6527230325943827,0.7766514359958727
1,0.7,1.0,0.609701839371392,0.8083506397918507,0.9736437033127293
1,0.9,0.4,0.6013415698488573,0.4241898608582348,0.4786060589653944
1,0.9,0.6,0.5725973175410323,0.5663776257756559,0.6524613950546897
1,0.9,0.8,0.7278283442033797,0.7192895849569952,0.8184550053613461
1,0.9,1.0,0.7999450133687084,0.8602973709940152,0.9214429150410487
2,0.1,0.4,0.026618903744781566,0.0827791122307725,0.8537907139149685
2,0.1,0.6,0.045693672001774446,0.14458231308099828,0.9125576529307421
2,0.1,0.8,0.04305079096451174,0.24128776944326036,0.9403163647501396
2,0.1,1.0,0.11019502208157728,0.3847171190480811,0.9327077139246517
2,0.3,0.4,0.06201419449673509,0.15347131458587032,0.7974274161077509
2,0.3,0.6,0.11904318304528365,0.2444782549686417,0.724521708995538
2,0.3,0.8,0.18491615699906847,0.38966695733535384,0.8147763345048417
2,0.3,1.0,0.26206148709097893,0.5700771054554895,0.9175294271803756
2,0.5,0.4,0.18851941900001143,0.24039795910469466,0.5536337748192586
2,0.5,0.6,0.2879511405928802,0.3809657178147879,0.6738002337890652
2,0.5,0.8,0.38398796973370003,0.5449068111921436,0.8354348211671875
2,0.5,1.0,0.43348338146444654,0.7149257208418317,0.9158964781462292
2,0.7,0.4,0.35217242968507484,0.3425739061809992,0.5467227702534431
2,0.7,0.6,0.37744645795967013,0.49729455569465114,0.6791715040767898
2,0.7,0.8,0.5495896532572666,0.6467818518757694,0.7798688886670413
2,0.7,1.0,0.595833391408279,0.8062511692993909,0.9058012909286816
2,0.9,0.4,0.5352545449302969,0.4266911795289335,0.498171338027547
2,0.9,0.6,0.611992454723929,0.5685102463415165,0.6206509804953098
2,0.9,0.8,0.6897100336628573,0.714754395954223,0.8029594334604119
2,0.9,1.0,0.7628239078318997,0.8597886878344165,0.9696777501174931
3,0.1,0.4,0.019668715804751633,0.08186323744861142,0.9047429935130687
3,0.1,0.6,0.04046546411454327,0.14504570087861404,0.879511253786375
3,0.1,0.8,0.06530320940918996,0.24042220510599274,0.9492820253765945
3,0.1,1.0,0.07518941960338833,0.38882997095879884,0.9393763510754538
3,0.3,0.4,0.07302452599998914,0.15423439503660805,0.794929794113452
3,0.3,0.6,0.12045822646497456,0.2520173746938367,0.7521357672434167
3,0.3,0.8,0.1853650352139684,0.4035966312391619,0.8751838575773374
3,0.3,1.0,0.29822311126736845,0.5715457123377131,0.907789503403015
3,0.5,0.4,0.17676309344404026,0.24755019706901563,0.6813886810007512
3,0.5,0.6,0.2917897162115985,0.38304887542418525,0.6754223596359762
3,0.5,0.8,0.3443312518655856,0.5439333018497505,0.7610648161451781
3,0.5,1.0,0.40472702085729007,0.7104690691831477,0.9055251483468651
3,0.7,0.4,0.31218786864994885,0.3437390921034001,0.5467106406431885
3,0.7,0.6,0.4501363815976345,0.49097837209313655,0.5748257015650975
3,0.7,0.8,0.5678243170290923,0.6550803517212522,0.796965995816115
3,0.7,1.0,0.5830520784396371,0.8083894693965822,0.8810926656327431
3,0.9,0.4,0.569976642953126,0.42293667172618116,0.5222698178866199
3,0.9,0.6,0.7242394968744191,0.5703444286750186,0.5845149806613208
3,0.9,0.8,0.809168818665569,0.7149612120519029,0.8640656894723514
3,0.9,1.0,0.6996649267351671,0.861969385284306,0.913049589754723
4,0.1,0.4,0.01310901164343456,0.08142992003010417,0.9026754307643788
4,0.1,0.6,0.03637778186934844,0.14273124521945285,0.8831381268385035
4,0.1,0.8,0.047064808994882724,0.24500067088056293,0.9848954010120624
4,0.1,1.0,0.11586827476429985,0.38687813137914295,0.9074372458469724
4,0.3,0.4,0.0828500976541103,0.1473793783053158,0.6346858892162375
4,0.3,0.6,0.15927297272616583,0.2597864888775892,0.7759336536968251
4,0.3,0.8,0.1714395829433656,0.39947528515240704,0.8216067726393176
4,0.3,1.0,0.2613547736035817,0.5620372061814183,0.9200415539180764
4,0.5,0.4,0.16641215605461912,0.2497416466554777,0.6467584703225261
4,0.5,0.6,0.23754790876005008,0.38786598332743366,0.759692888244305
4,0.5,0.8,0.3042844970716873,0.5485219878883378,0.7869272376758664
4,0.5,1.0,0.45829732958321395,0.716707889727539,0.8771504400504018
4,0.7,0.4,0.3256545270187024,0.34389553952887786,0.567601409253403
4,0.7,0.6,0.5618265797491516,0.49512644848478277,0.582620449705172
4,0.7,0.8,0.5389031275250379,0.6559006353188269,0.7950983475617595
4,0.7,1.0,0.6235119008659539,0.8092531044460607,0.902456097603221
4,0.9,0.4,0.6434329802415183,0.4273851047280192,0.46032040021958975
4,0.9,0.6,0.6997445196795508,0.5692006086566207,0.6294461788460732
4,0.9,0.8,0.6611980018861352,0.7138583004359481,0.7854815452828681
4,0.9,1.0,0.8207186158542932,0.8618462609960386,0.9871783933118841
5,0.1,0.4,0.018872815512274533,0.08700133698351187,0.8884433391616884
5,0.1,0.6,0.05347297306472024,0.15111849788721204,0.8406513594576659
5,0.1,0.8,0.062036436823811235,0.25795272674893427,0.8750099028953333
5,0.1,1.0,0.07473121260717033,0.3782294585485435,0.9299720394728928
5,0.3,0.4,0.06352762758410417,0.1495804223563704,0.7362223563314657
5,0.3,0.6,0.10844665866957626,0.25032502642196947,0.7584866375969265
5,0.3,0.8,0.20413709528862156,0.385998185991961,0.8055739573033192
